model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
bcwfc,13,40,3,0.512124,0.2864715
bcwfc,13,40,4,0.596838,0.38016249999999996
lenet,,1,0,0.010309,0.042138
lenet,,1,1,0.009463000000000001,0.039996000000000004
lenet,,1,2,0.009437000000000001,0.039975000000000004
lenet,,1,3,0.00012199999999999998,0.000341
lenet,,1,4,6.6e-05,0.00028
lenet,,1,5,1.2e-05,3.6e-05
lenet,,1,6,0.0,0.0
lenet,,2,0,0.01054375,0.026656250000000003
lenet,,2,1,0.009665749999999999,0.024612250000000002
lenet,,2,2,0.009611,0.024571000000000003
lenet,,2,3,0.000156,0.000347
lenet,,2,4,7.1e-05,0.00016600000000000002
lenet,,2,5,2.1e-05,3.3e-05
lenet,,2,6,0.0,0.0
lenet,,4,0,0.010274,0.026454
lenet,,4,1,0.00937,0.024335
lenet,,4,2,0.009342,0.024311
lenet,,4,3,0.00013700000000000002,0.000374
lenet,,4,4,5.7e-05,0.000197
lenet,,4,5,9e-06,2.3e-05
lenet,,4,6,0.0,0.0
lenet,,8,0,0.010210249999999997,0.04034399999999999
lenet,,8,1,0.009348249999999997,0.03823699999999999
lenet,,8,2,0.009322999999999998,0.038209999999999994
lenet,,8,3,0.00011300000000000001,0.00030900000000000003
lenet,,8,4,5.8e-05,0.000248
lenet,,8,5,1e-05,3.6e-05
lenet,,8,6,0.0,0.0
lenet,,16,0,0.0100195,0.03830375
lenet,,16,1,0.0094465,0.036623750000000004
lenet,,16,2,0.009419,0.0366
lenet,,16,3,0.000114,0.00030399999999999996
lenet,,16,4,6.2e-05,0.00023999999999999998
lenet,,16,5,1.2e-05,2.9e-05
lenet,,16,6,0.0,0.0
lenet,,32,0,0.01034175,0.025962
lenet,,32,1,0.00945975,0.023811999999999996
lenet,,32,2,0.009431,0.023791999999999997
lenet,,32,3,0.000102,0.00035
lenet,,32,4,6e-05,0.000299
lenet,,32,5,1e-05,1.6e-05
lenet,,32,6,0.0,0.0
lenet,,40,0,0.009703749999999999,0.02462675
lenet,,40,1,0.00926075,0.02342175
lenet,,40,2,0.009238,0.0234
lenet,,40,3,8.499999999999999e-05,0.000312
lenet,,40,4,5.4e-05,0.00025100000000000003
lenet,,40,5,7e-06,1.1e-05
lenet,,40,6,0.0,0.0
lenet,13,1,0,0.0,0.0
lenet,13,1,1,4.006699,3.502706,Conv2D_1_6_5_5
lenet,13,1,2,4.83758875,5.033186499999999,Activation_ReLU3
lenet,13,1,3,8.93281575,19.308280500000002,Conv2D_6_16_5_5
lenet,13,1,4,44.21598375000001,34.175131500000006,Linear_256_120
lenet,13,1,5,67.96847575000001,45.22694650000001,Linear_120_84
lenet,13,1,6,72.33414875000001,49.56043150000001,Linear_84_10
lenet,13,2,0,0.0,0.0
lenet,13,2,1,2.348899,2.284922
lenet,13,2,2,2.8841845,3.2251469999999998
lenet,13,2,3,5.2849825,13.494897
lenet,13,2,4,25.208172500000003,21.966056000000002
lenet,13,2,5,38.8711945,28.745664
lenet,13,2,6,41.2074025,31.205771000000002
lenet,13,4,0,0.0,0.0
lenet,13,4,1,1.060655,1.1540949999999999
lenet,13,4,2,1.3264055,1.65920575
lenet,13,4,3,2.4104954999999997,6.3352777499999995
lenet,13,4,4,13.5650215,11.30443775
lenet,13,4,5,20.9247085,14.68586075
lenet,13,4,6,22.2387525,15.94340875
lenet,13,8,0,0.0,0.0
lenet,13,8,1,0.638623,0.710163
lenet,13,8,2,0.8072945,1.004594
lenet,13,8,3,1.4600275,4.163486000000001
lenet,13,8,4,8.0545465,6.980226000000001
lenet,13,8,5,12.846320500000001,9.128227
lenet,13,8,6,13.625868500000001,9.907059
lenet,13,16,0,0.0,0.0
lenet,13,16,1,0.305494,0.34008
lenet,13,16,2,0.3906465,0.49368075
lenet,13,16,3,0.7028905000000001,2.09804075
lenet,13,16,4,4.3646505,3.60868475
lenet,13,16,5,6.891958499999999,4.78110775
lenet,13,16,6,7.3472694999999995,5.19158175
lenet,13,32,0,0.0,0.0
lenet,13,32,1,0.137354,0.171714
lenet,13,32,2,0.17576,0.24284250000000002
lenet,13,32,3,0.316149,0.9847815
lenet,13,32,4,1.930852,1.6241115
lenet,13,32,5,3.01628,2.1679185
lenet,13,32,6,3.210081,2.3766515
lenet,13,40,0,0.0,0.0
lenet,13,40,1,0.124836,0.154603
lenet,13,40,2,0.16112100000000001,0.21733175
lenet,13,40,3,0.28871500000000005,0.89565575
lenet,13,40,4,1.7600820000000001,1.49677875
lenet,13,40,5,2.669017,1.93802175
lenet,13,40,6,2.8467140000000004,2.11301175
